Material Name,Density (tonne/mm³),Young's Modulus (MPa),Shear Modulus (MPa),Bulk Modulus (MPa),Poisson's Ratio,Yield Stress (MPa),Ultimate Stress (MPa),Elongation (%),CTE (1/C),Yield Offset (%)
STEEL WROUGHT 1030 1 IN. BAR WQ+400F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,6.4811E+02,8.4806E+02,17.000,1.4940E-11,0.2000
STEEL WROUGHT 1040 1 IN. BAR ANNEALED,7.8334E-09,1.9857E+05,7.6965E+04,1.5759E+05,0.2900,3.5163E+02,5.1711E+02,30.000,1.4940E-11,0.2000
STEEL WROUGHT 1040 1 IN. BAR HOT ROLLED,7.8334E-09,1.9857E+05,7.6965E+04,1.5759E+05,0.2900,4.1369E+02,6.2053E+02,25.000,1.4940E-11,0.2000
STEEL WROUGHT 1040 1 IN. BAR WQ+1200F,7.8334E-09,1.9857E+05,7.6965E+04,1.5759E+05,0.2900,4.9642E+02,6.3432E+02,28.000,1.4940E-11,0.2000
STEEL WROUGHT 1040 1 IN. BAR WQ+400F,7.8334E-09,1.9857E+05,7.6965E+04,1.5759E+05,0.2900,6.6879E+02,8.9632E+02,17.000,1.4940E-11,0.2000
STEEL WROUGHT 1040 1 IN. BAR OQ+1200F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,4.3437E+02,6.3432E+02,29.000,1.4940E-11,0.2000
STEEL WROUGHT 1040 1 IN. BAR OQ+400F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,5.9295E+02,7.7911E+02,19.000,1.4940E-11,0.2000
STEEL WROUGHT 1050 1 IN. BAR ANNEALED,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,3.6542E+02,6.3432E+02,24.000,1.4580E-11,0.2000
STEEL WROUGHT 1050 1 IN. BAR HOT ROLLED,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,3.7921E+02,7.2395E+02,20.000,1.4580E-11,0.2000
STEEL WROUGHT 1050 1 IN. BAR WQ+1200F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,5.3779E+02,7.1705E+02,28.000,1.4580E-11,0.2000
STEEL WROUGHT 1050 1 IN. BAR WQ+400F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,8.0669E+02,1.1238E+03,9.000,1.4580E-11,0.2000
STEEL WROUGHT 1050 1 IN. BAR OQ+1200F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,4.4126E+02,7.3084E+02,25.000,1.4580E-11,0.2000
STEEL WROUGHT 1050 1 IN. BAR OQ+600F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,7.2395E+02,9.7906E+02,14.000,1.4580E-11,0.2000
STEEL WROUGHT 1060 1 IN. BAR ANNEALED,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,3.7232E+02,6.2742E+02,22.000,1.4580E-11,0.2000
STEEL WROUGHT 1060 1 IN. HOT ROLLED,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,4.8263E+02,8.1358E+02,17.000,1.4580E-11,0.2000
STEEL WROUGHT 1060 1 IN. BAR OQ+1200F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,5.2400E+02,7.9979E+02,23.000,1.4580E-11,0.2000
STEEL WROUGHT 1060 1 IN. BAR OQ+400F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,7.7911E+02,1.1032E+03,13.000,1.4580E-11,0.2000
STEEL WROUGHT 1095 1 IN. BAR ANNEALED,7.8334E-09,1.9926E+05,7.7232E+04,1.5814E+05,0.2900,3.7921E+02,6.5500E+02,13.000,1.3320E-11,0.2000
STEEL WROUGHT 1095 1 IN. BAR HOT ROLLED,7.8334E-09,1.9926E+05,7.7232E+04,1.5814E+05,0.2900,5.7226E+02,9.6527E+02,9.000,1.3320E-11,0.2000
STEEL WROUGHT 1095 1 IN. BAR WQ+1200F,7.8334E-09,1.9926E+05,7.7232E+04,1.5814E+05,0.2900,5.8605E+02,8.4116E+02,20.000,1.3320E-11,0.2000
STEEL WROUGHT 1095 1 IN. BAR WQ+400F,7.8334E-09,1.9926E+05,7.7232E+04,1.5814E+05,0.2900,1.0480E+03,1.4893E+03,10.000,1.3320E-11,0.2000
STEEL WROUGHT 1095 1 IN. BAR OQ+1200F,7.8334E-09,1.9926E+05,7.7232E+04,1.5814E+05,0.2900,5.5158E+02,8.9632E+02,21.000,1.3320E-11,0.2000
STEEL WROUGHT 1095 1 IN. BAR OQ+400F,7.8334E-09,1.9926E+05,7.7232E+04,1.5814E+05,0.2900,8.2737E+02,1.2893E+03,10.000,1.3320E-11,0.2000
STEEL WROUGHT 1117 1 IN. BAR ANNEALED,7.8057E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,2.8269E+02,4.2748E+02,33.000,1.3500E-11,0.2000
STEEL WROUGHT 1117 1 IN. BAR HOT ROLLED,7.8057E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,3.0337E+02,4.8953E+02,33.000,1.3500E-11,0.2000
STEEL WROUGHT 1117 1 IN. BAR CARB. 1700F+ WQ+600F,7.8057E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,6.6879E+02,9.0321E+02,15.000,1.3500E-11,0.2000
STEEL WROUGHT 1117 1 IN. BAR CARB. 1700F+ WQ+400F,7.8057E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,6.8948E+02,9.4458E+02,10.000,1.3500E-11,0.2000
STEEL WROUGHT 1117 1 IN. BAR CARB. 1700F+ OQ+600F,7.8057E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,4.7574E+02,6.6879E+02,26.000,1.3500E-11,0.2000
STEEL WROUGHT 1117 1 IN. BAR CARB. 1700F+ OQ+400F,7.8057E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,4.9642E+02,6.9637E+02,24.000,1.3500E-11,0.2000
STEEL WROUGHT 1144 1 IN. BAR ANNEALED,7.8057E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,3.4474E+02,5.8605E+02,25.000,1.2780E-11,0.2000
STEEL WROUGHT 1144 1 IN. BAR HOT ROLLED,7.8057E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,4.2058E+02,7.0327E+02,21.000,1.2780E-11,0.2000
STEEL WROUGHT 1144 1 IN. BAR WQ+1200F,7.8057E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,6.2742E+02,7.4463E+02,21.000,1.2780E-11,0.2000
STEEL WROUGHT 1144 1 IN. BAR WQ+400F,7.8057E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,1.2962E+03,1.9995E+03,5.000,1.2780E-11,0.2000
STEEL WROUGHT 1144 1 IN. BAR OQ+1200F,7.8057E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,5.0332E+02,7.2395E+02,23.000,1.2780E-11,0.2000
STEEL WROUGHT 1144 1 IN. BAR OQ+400F,7.8057E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,6.2742E+02,8.7563E+02,17.000,1.2780E-11,0.2000
STEEL WROUGHT 1340 1 IN. BAR ANNEALED,7.8334E-09,1.9305E+05,7.4827E+04,1.5322E+05,0.2900,4.3437E+02,7.0327E+02,25.000,1.3500E-11,0.2000
STEEL WROUGHT 1340 1 IN. BAR NORM,7.8334E-09,1.9305E+05,7.4827E+04,1.5322E+05,0.2900,5.5848E+02,8.2737E+02,22.000,1.3500E-11,0.2000
STEEL WROUGHT 1340 1 IN. BAR OQ+1200F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,6.6190E+02,7.7221E+02,23.000,1.3500E-11,0.2000
STEEL WROUGHT 1340 1 IN. BAR OQ+1000F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,8.3427E+02,9.5148E+02,19.000,1.3500E-11,0.2000
STEEL WROUGHT 1340 1 IN. BAR OQ+400F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,1.5858E+03,1.7926E+03,10.000,1.3500E-11,0.2000
STEEL WROUGHT 4130 1 IN. BAR ANNEALED,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,3.5853E+02,5.5848E+02,28.000,1.2780E-11,0.2000
STEEL WROUGHT 4130 1 IN. BAR NORM,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,4.3437E+02,6.6879E+02,26.000,1.2780E-11,0.2000
STEEL WROUGHT 4130 1 IN. BAR WQ+1200F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,7.0327E+02,8.1358E+02,22.000,1.2780E-11,0.2000
STEEL WROUGHT 4130 1 IN. BAR WQ+1000F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,9.1011E+02,1.0342E+03,17.000,1.2780E-11,0.2000
STEEL WROUGHT 4130 1 IN. BAR WQ+400F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,1.4617E+03,1.6272E+03,10.000,1.2780E-11,0.2000
STEEL WROUGHT 4130 1 IN. BAR OQ+1200F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,6.0674E+02,7.8600E+02,22.000,1.2780E-11,0.2000
STEEL WROUGHT 4140 1 IN. BAR ANNEALED,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,4.2058E+02,6.5500E+02,26.000,1.1160E-11,0.2000
STEEL WROUGHT 4140 1 IN. BAR NORM,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,6.5500E+02,1.0204E+03,18.000,1.1160E-11,0.2000
STEEL WROUGHT 4140 1 IN. BAR OQ+1200F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,6.5500E+02,7.5842E+02,18.000,1.1160E-11,0.2000
STEEL WROUGHT 4140 1 IN. BAR OQ+1000F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,9.8595E+02,1.1376E+03,15.000,1.1160E-11,0.2000
STEEL WROUGHT 4140 1 IN. BAR OQ+400F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,1.6410E+03,1.7720E+03,8.000,1.1160E-11,0.2000
STEEL WROUGHT 4340 1 IN. BAR ANNEALED,7.8334E-09,1.9650E+05,7.6163E+04,1.5595E+05,0.2900,4.7574E+02,7.4463E+02,22.000,1.1340E-11,0.2000
STEEL WROUGHT 4340 1 IN. BAR OQ+1200F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,9.1700E+02,1.0342E+03,18.000,1.1340E-11,0.2000
STEEL WROUGHT 4340 1 IN. BAR OQ+1000F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,1.1721E+03,1.2617E+03,14.000,1.1340E-11,0.2000
STEEL WROUGHT 4340 1 IN. BAR OQ+800F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,1.3790E+03,1.5306E+03,12.000,1.1340E-11,0.2000
STEEL WROUGHT 4340 1 IN. BAR OQ+400F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,1.6410E+03,1.9512E+03,11.000,1.1340E-11,0.2000
STEEL WROUGHT 4620 1 IN. BAR ANNEALED,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,3.7232E+02,5.1021E+02,31.000,1.1700E-11,0.2000
STEEL WROUGHT 4620 1 IN. BAR NORM,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,3.6542E+02,5.7226E+02,29.000,1.1700E-11,0.2000
STEEL WROUGHT 4620 1 IN. BAR OQ+1200F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,5.3090E+02,6.2053E+02,30.000,1.1700E-11,0.2000
STEEL WROUGHT 4620 1 IN. BAR CARB. 1700F+ 1500F OQ+450F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,7.3084E+02,8.6184E+02,19.000,1.1700E-11,0.2000
STEEL WROUGHT 4620 1 IN. BAR CARB. 1700F+ OQ+450F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,8.5495E+02,9.6527E+02,16.000,1.1700E-11,0.2000
STEEL WROUGHT 4620 1 IN. BAR CARB. 1700F+ OQ+300F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,9.0321E+02,1.0066E+03,16.000,1.1700E-11,0.2000
STEEL WROUGHT 4820 1 IN. BAR ANNEALED,7.8611E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,4.6195E+02,6.8258E+02,23.000,1.1520E-11,0.2000
STEEL WROUGHT 4820 1 IN. BAR NORM,7.8611E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,4.8263E+02,7.5153E+02,24.000,1.1520E-11,0.2000
STEEL WROUGHT 4820 1 IN. BAR CARB. 1700F+ 1475F OQ+450F,7.8611E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,1.2755E+03,1.4134E+03,13.000,1.1520E-11,0.2000
STEEL WROUGHT 4820 1 IN. BAR CARB. 1700F+ OQ+450F,7.8611E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,1.1721E+03,1.3858E+03,13.000,1.1520E-11,0.2000
STEEL WROUGHT 4820 1 IN. BAR CARB. 1700F+ OQ+300F,7.8611E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,1.1445E+03,1.4134E+03,13.000,1.1520E-11,0.2000
STEEL WROUGHT 5140 1 IN. BAR ANNEALED,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,2.8958E+02,5.7226E+02,29.000,1.2780E-11,0.2000
STEEL WROUGHT 5140 1 IN. BAR NORM,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,4.7574E+02,7.9290E+02,23.000,1.2780E-11,0.2000
STEEL WROUGHT 5140 1 IN. BAR OQ+1200F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,6.5500E+02,7.5842E+02,25.000,1.2780E-11,0.2000
STEEL WROUGHT 5140 1 IN. BAR OQ+1000F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,9.2390E+02,1.0687E+03,17.000,1.2780E-11,0.2000
STEEL WROUGHT 5140 1 IN. BAR OQ+800F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,1.1652E+03,1.3100E+03,12.000,1.2780E-11,0.2000
STEEL WROUGHT 5140 1 IN. BAR OQ+400F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,1.6410E+03,1.7926E+03,9.000,1.2780E-11,0.2000
STEEL WROUGHT 6150 1 IN. BAR ANNEALED,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,4.1369E+02,6.6879E+02,23.000,1.2420E-11,0.2000
STEEL WROUGHT 6150 1 IN. BAR NORM,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,6.1363E+02,9.3769E+02,22.000,1.2420E-11,0.2000
STEEL WROUGHT 6150 1 IN. BAR OQ+1200F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,8.9632E+02,9.7216E+02,19.000,1.2420E-11,0.2000
STEEL WROUGHT 6150 1 IN. BAR OQ+1000F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,1.1583E+03,1.1928E+03,14.000,1.2420E-11,0.2000
STEEL WROUGHT 6150 1 IN. BAR OQ+400F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,1.6892E+03,1.9305E+03,8.000,1.2420E-11,0.2000
STEEL WROUGHT 8630 1 IN. BAR ANNEALED,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,3.7232E+02,5.6537E+02,29.000,1.1340E-11,0.2000
STEEL WROUGHT 8630 1 IN. BAR NORM,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,4.2748E+02,6.4811E+02,24.000,1.1340E-11,0.2000
STEEL WROUGHT 8630 1 IN. BAR WQ+1200F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,6.8948E+02,7.9290E+02,23.000,1.1340E-11,0.2000
STEEL WROUGHT 8630 1 IN. BAR WQ+1000F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,8.4806E+02,9.3079E+02,19.000,1.1340E-11,0.2000
STEEL WROUGHT 8630 1 IN. BAR WQ+900F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,9.1011E+02,1.0135E+03,16.000,1.1340E-11,0.2000
STEEL WROUGHT 8630 1 IN. BAR WQ+400F,7.8334E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,1.2273E+03,1.3790E+03,9.000,1.1340E-11,0.2000
STEEL WROUGHT 8650 1 IN. BAR ANNEALED,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,3.8611E+02,7.1705E+02,22.000,1.1700E-11,0.2000
STEEL WROUGHT 8650 1 IN. BAR NORM,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,6.8948E+02,1.0273E+03,14.000,1.1700E-11,0.2000
STEEL WROUGHT 8650 1 IN. BAR WQ+1200F,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,8.5495E+02,9.3769E+02,17.000,1.1700E-11,0.2000
STEEL WROUGHT 8650 1 IN. BAR WQ+1000F,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,1.0687E+03,1.2135E+03,14.000,1.1700E-11,0.2000
STEEL WROUGHT 8650 1 IN. BAR WQ+400F,7.8334E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,1.6754E+03,1.9374E+03,10.000,1.1700E-11,0.2000
STEEL WROUGHT HY140 1 IN. PLATE(L) Q+TEMPER 1000F,7.8888E-09,2.0340E+05,7.8835E+04,1.6142E+05,0.2900,9.7906E+02,1.0273E+03,20.000,1.3140E-11,0.2000
STEEL WROUGHT HY140 1 IN. PLATE(T) Q+TEMPER 1000F,7.8888E-09,2.0340E+05,7.8835E+04,1.6142E+05,0.2900,9.7906E+02,1.0273E+03,20.000,1.3140E-11,0.2000
STEEL WROUGHT HY140 1 IN. PLATE WELD+TEMPER 1000F,7.8888E-09,2.0340E+05,7.8835E+04,1.6142E+05,0.2900,9.9285E+02,1.1238E+03,18.000,1.3140E-11,0.2000
STEEL WROUGHT H-11 (VM) BAR Q+T,7.7781E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,1.4479E+03,1.7926E+03,8.000,1.1340E-11,0.2000
STEEL WROUGHT H-11 (VM) BAR Q+T 1050F,7.7781E-09,2.0684E+05,8.0172E+04,1.6416E+05,0.2900,1.5858E+03,1.9305E+03,10.000,1.1340E-11,0.2000
STEEL WROUGHT H-11 (VM) SHEET Q+T,7.7781E-09,1.9995E+05,7.7499E+04,1.5869E+05,0.2900,1.4479E+03,1.7926E+03,4.000,1.1340E-11,0.2000
STEEL WROUGHT H-11 (VM) SHEET Q+T 1050F,7.7781E-09,1.9443E+05,7.5361E+04,1.5431E+05,0.2900,1.5168E+03,1.9305E+03,4.000,1.1340E-11,0.2000
STEEL WROUGHT D6AC PLATE(L) TEMPER 500F,7.8611E-09,2.1029E+05,8.1508E+04,1.6690E+05,0.2900,1.7237E+03,1.9995E+03,9.000,1.3320E-11,0.2000
STEEL WROUGHT D6AC PLATE(L) TEMPER 1000F,7.8611E-09,2.1029E+05,8.1508E+04,1.6690E+05,0.2900,1.4824E+03,1.5858E+03,10.000,1.3320E-11,0.2000
STEEL WROUGHT D6AC SHEET TEMPER 500F,7.8611E-09,2.1029E+05,8.1508E+04,1.6690E+05,0.2900,1.5858E+03,1.9995E+03,5.000,1.3320E-11,0.2000
STEEL WROUGHT D6AC SHEET TEMPER 1000F,7.8611E-09,2.1029E+05,8.1508E+04,1.6690E+05,0.2900,1.3790E+03,1.5168E+03,6.000,1.3320E-11,0.2000
STEEL WROUGHT 9NI-4CO-25 PLATE TEMPER 600F,7.8611E-09,1.9512E+05,7.5629E+04,1.5486E+05,0.2900,1.3445E+03,1.4824E+03,9.000,1.1520E-11,0.2000
STEEL WROUGHT 9NI-4CO-25 PLATE TEMPER 1000F,7.8611E-09,1.9650E+05,7.6163E+04,1.5595E+05,0.2900,1.3100E+03,1.3790E+03,17.000,1.1520E-11,0.2000
STEEL WROUGHT 9NI-4CO-25 SHEET TEMPER 600F,7.8611E-09,1.9512E+05,7.5629E+04,1.5486E+05,0.2900,1.3790E+03,1.5168E+03,10.000,1.1520E-11,0.2000
STEEL WROUGHT 9NI-4CO-25 PLATE TEMPER 1000F,7.8611E-09,1.9650E+05,7.6163E+04,1.5595E+05,0.2900,1.2755E+03,1.4134E+03,15.000,1.1520E-11,0.2000
STEEL WROUGHT 9NI-4CO-45 PLATE TEMPER 600F,7.7504E-09,1.9512E+05,7.5629E+04,1.5486E+05,0.2900,1.7582E+03,1.9305E+03,5.000,1.1160E-11,0.2000
STEEL WROUGHT 9NI-4CO-45 PLATE TEMPER 1000F,7.7504E-09,1.9650E+05,7.6163E+04,1.5595E+05,0.2900,1.4134E+03,1.4824E+03,9.000,1.1160E-11,0.2000
STEEL WROUGHT 9NI-4CO-45 SHEET TEMPER 600F,7.7504E-09,1.9512E+05,7.5629E+04,1.5486E+05,0.2900,1.5858E+03,1.7926E+03,5.000,1.1160E-11,0.2000
STEEL WROUGHT 9NI-4CO-45 PLATE TEMPER 1000F,7.7504E-09,1.9650E+05,7.6163E+04,1.5595E+05,0.2900,1.3790E+03,1.4479E+03,9.000,1.1160E-11,0.2000
STEEL WROUGHT 18NI-MIRAGE 200 PLATE(T) ANNEALED,7.9995E-09,1.9857E+05,7.6965E+04,1.5759E+05,0.2900,7.5842E+02,9.6527E+02,18.000,1.0080E-11,0.2000
STEEL WROUGHT 18NI-MIRAGE 200 PLATE(T) AGE 900F,7.9995E-09,1.9857E+05,7.6965E+04,1.5759E+05,0.2900,1.5513E+03,1.6203E+03,12.000,1.0080E-11,0.2000
STEEL WROUGHT 18NI-MIRAGE 200 PLATE(L) AGE 900F,7.9995E-09,1.8823E+05,7.2956E+04,1.4939E+05,0.2900,1.4824E+03,1.5513E+03,11.000,1.0080E-11,0.2000
STEEL WROUGHT 18NI-MIRAGE 200 WELDED AGE 900F,7.9995E-09,1.8823E+05,7.2956E+04,1.4939E+05,0.2900,1.4824E+03,1.5168E+03,7.000,1.0080E-11,0.2000
STEEL WROUGHT 18NI-MIRAGE 250 (VM) PLATE(T) ANNEALED,8.0272E-09,1.7582E+05,6.8146E+04,1.3954E+05,0.2900,8.9632E+02,1.0342E+03,18.000,1.0080E-11,0.2000
STEEL WROUGHT 18NI-MIRAGE 250 (VM) PLATE(T) AGE 900F,8.0272E-09,1.7582E+05,6.8146E+04,1.3954E+05,0.2900,1.5651E+03,1.6341E+03,12.000,1.0080E-11,0.2000
STEEL WROUGHT 18NI-MIRAGE 250 (VM) PLATE(L) AGE 900F,8.0272E-09,1.7788E+05,6.8948E+04,1.4118E+05,0.2900,1.6341E+03,1.7651E+03,11.000,1.0080E-11,0.2000
STEEL WROUGHT 18NI-MIRAGE 250 (VM) SHEET(T) AGE 900F,8.0272E-09,1.7513E+05,6.7879E+04,1.3899E+05,0.2900,1.8133E+03,1.8547E+03,3.100,1.0080E-11,0.2000
STEEL WROUGHT 18NI-MIRAGE 300 (VM) PLATE(T) ANNEALED,8.0272E-09,1.8892E+05,7.3223E+04,1.4993E+05,0.2900,8.2737E+02,1.0480E+03,19.000,8.6400E-12,0.2000
STEEL WROUGHT 18NI-MIRAGE 300 (VM) PLATE(T) AGE 900F,8.0272E-09,1.8892E+05,7.3223E+04,1.4993E+05,0.2900,1.9098E+03,1.9788E+03,6.700,8.6400E-12,0.2000
STEEL WROUGHT 18NI-MIRAGE 300 (VM) PLATE(L) AGE 900F,8.0272E-09,1.7995E+05,6.9749E+04,1.4282E+05,0.2900,1.9236E+03,1.9857E+03,7.000,8.6400E-12,0.2000
STEEL WROUGHT 18NI-MIRAGE 300 (VM) SHEET(T) AGE 900F,8.0272E-09,1.8478E+05,7.1620E+04,1.4665E+05,0.2900,1.8754E+03,1.9581E+03,3.500,8.6400E-12,0.2000
STEEL WROUGHT 18NI-MIRAGE 350 (VM) 5/8 BAR ANNEALED,8.0825E-09,1.8616E+05,7.2154E+04,1.4774E+05,0.2900,8.2737E+02,1.1376E+03,18.000,1.1340E-11,0.2000
STEEL WROUGHT 18NI-MIRAGE 350 (VM) 5/8 BAR AGE 900F,8.0825E-09,1.8616E+05,7.2154E+04,1.4774E+05,0.2900,2.3028E+03,2.3511E+03,10.000,1.1340E-11,0.2000
STEEL WROUGHT 18NI-MIRAGE 350 (VM) 1/2 PLATE(T) AGE 900F,8.0825E-09,1.8616E+05,7.2154E+04,1.4774E+05,0.2900,2.3787E+03,2.4270E+03,8.500,1.1340E-11,0.2000
STEEL WROUGHT 18NI-MIRAGE 350 (VM) SHEET(T) AGE 900F,8.0825E-09,1.8616E+05,7.2154E+04,1.4774E+05,0.2900,2.5097E+03,2.5717E+03,4.000,1.1340E-11,0.2000
TANTALUM PURE ANNEALED SHEET,1.6608E-08,1.8616E+05,6.8948E+04,2.0684E+05,0.3500,2.4132E+02,3.1026E+02,30.000,6.4260E-12,0.2000
TEFLON,2.2006E-09,4.2403E+02,1.4622E+02,1.4134E+03,0.4500,8.2737E+00,1.2411E+01,100.000,9.9000E-11,0.2000
TITANIUM COMMERCIAL PURE ANNEALED,4.5118E-09,1.1376E+05,4.3755E+04,9.4803E+04,0.3000,4.8263E+02,6.2053E+02,23.000,9.0000E-12,0.2000
TITANIUM WROUGHT UNALLOYED GRADE 1 ANNEALED,4.5118E-09,1.0204E+05,3.8076E+04,1.0629E+05,0.3400,2.4132E+02,3.3095E+02,30.000,8.6400E-12,0.2000
TITANIUM WROUGHT UNALLOYED GRADE 2 ANNEALED,4.5118E-09,1.0273E+05,3.8333E+04,1.0701E+05,0.3400,3.4474E+02,4.3437E+02,28.000,8.6400E-12,0.2000
TITANIUM WROUGHT UNALLOYED GRADE 3 ANNEALED,4.5118E-09,1.0342E+05,3.8590E+04,1.0773E+05,0.3400,4.4816E+02,5.1711E+02,25.000,8.6400E-12,0.2000
TITANIUM WROUGHT UNALLOYED GRADE 4 ANNEALED,4.5118E-09,1.0411E+05,3.8847E+04,1.0845E+05,0.3400,5.8605E+02,6.5500E+02,20.000,8.6400E-12,0.2000
TITANIUM WROUGHT 0.2PB GRADE 7 ANNEALED,4.5118E-09,1.0273E+05,3.8333E+04,1.0701E+05,0.3400,3.4474E+02,4.3437E+02,28.000,8.6400E-12,0.2000
TITANIUM WROUGHT CODE 12 ANNEALED,4.5395E-09,1.0342E+05,3.7472E+04,1.4364E+05,0.3800,4.8263E+02,6.2053E+02,23.000,9.9000E-12,0.2000
TITANIUM WROUGHT 5-AL 2.5-SN ANNEALED,4.4841E-09,1.0894E+05,4.0648E+04,1.1348E+05,0.3400,7.9290E+02,8.2737E+02,13.000,9.3600E-12,0.2000
TITANIUM WROUGHT 5-AL 2.5-SN ELI ANNEALED,4.4841E-09,1.1032E+05,4.1163E+04,1.1491E+05,0.3400,6.8948E+02,7.5842E+02,17.000,9.3600E-12,0.2000
TITANIUM WROUGHT 3-AL 2.5-V ANNEALED,4.4841E-09,9.9974E+04,3.7304E+04,1.0414E+05,0.3400,6.2053E+02,6.5500E+02,22.000,9.5400E-12,0.2000
